MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,Building Type,SqFt,Bedrooms,Baths,Baths Partial,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,HOA Fees Freq,Close Date,Age,APN,Census Tract,City Transfer Tax,Class,Co List Agent BRE Num.,Co Sell Agent BRE Num.,Comp to Selling Office,Comp Type,County,Cumulative DOMLS,Days On MLS,General Date,Dist/Neighborhood/Subdiv,Dual Variable,Fireplaces,Floor Unit is on,Foreclosure Status,HOA,How Sold,Input Date,List $/SqFt,List Agent BRE Num.,List Date,Listing Broker BRE Number,Listing Type,Number of offers,Off Market Date,Original Price,Pending Date,Pending Litigation,Occ%,Point of Sale Ordinance,Pool (Y/N),Previous Price,Price,Price Date,Price/SqFt,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Selling Broker BRE Number,Sold Agent BRE Num.,Tax ID,TIC % Owner Offered,Units in Complex,Update Date,Source,Special Information,State,Status Date,Stories,Zip,Zoning,Co-List Agent - Agent Name,Co-List Agent - License ID,Co-Sell Agent - Agent Name,Co-Sell Agent - License ID,Listing Agent - Agent Name,Listing Agent - License ID,Selling Agent 1 - Agent Name,Selling Agent 1 - License ID
40769020,ACTV,11,3746 Park Boulevard Way,A,OAKLAND,2610,"$499,000 ",,CO,916,1,1,0,Y,1,1920,0.1,"4,385",200,M,,97,23-478-16,,Yes,RESIDENTIAL,,,2.5,%,Alameda,11,11,2/1/2017,BAJA GLENVIEW,No,1,1,,Yes,,2/1/2017 15:38,$545 ,473688,2/1/2017,473688,Excl Agency,,,"$499,000 ",,No,50,Yes,No,"$499,000 ","$499,000 ",2/1/2017,$544.76 ,0,,,,,For Sale,,,23-478-16,,4,2/8/2017,Appraisal,None,CA,2/8/2017,Two Story,94610,,,,,,DAVID M STONE,473688,,
40761355,ACTV,70,320 Park View Ter,306,OAKLAND,2610,"$595,000 ",,CO,847,2,2,0,Y,1,1971,0,0,299,M,,46,10-771-70,,Yes,RESIDENTIAL,,,2.5,%,Alameda,70,70,10/19/2016,ADAMS POINT,No,0,3,,Yes,,10/19/2016 13:24,$702 ,1759282,10/19/2016,808840,Excl Right,,,"$549,000 ",,No,68,Yes,No,"$549,000 ","$595,000 ",1/4/2017,$702.48 ,0,,,,,For Sale,,,10-771-70,,29,2/7/2017,Public Records,None,CA,1/11/2017,Three or More Stories,94610,,,,,,Seet Thang,1759282,,
40758217,ACTV,143,565 BELLEVUE AVE,704A,OAKLAND,2610,"$722,000 ",,CO,860,1,1,0,N,1,1969,0.429293,"18,700",696,M,,48,10076701800,4037.02,Yes,RESIDENTIAL,,,2.5,%,Alameda,143,143,9/22/2016,PARK BELLEVUE,Yes,0,7,,Yes,,9/22/2016 12:35,$840 ,1379785,9/22/2016,1499008,Excl Right,,,"$748,000 ",,No,80,Yes,Yes,"$748,000 ","$722,000 ",11/21/2016,$839.53 ,3,,,,,For Sale,,,10076701800,,152,2/7/2017,Public Records,None,CA,11/28/2016,One Story,94610,1004,,,,,MARLENE SIMAS,1379785,,
40766803,ACTV,37,565 Bellevue Ave,1008,OAKLAND,2610,"$799,000 ",,CO,860,1,2,0,Y,1,1969,0.43,"18,700",696,M,,48,10-767-46,,Yes,RESIDENTIAL,,,2.5,%,Alameda,109,38,1/6/2017,LAKE MERRIT,No,0,10,,Yes,,1/5/2017 22:15,$929 ,1880934,1/6/2017,997591,Excl Right,,,"$799,000 ",,No,80,Yes,Yes,"$799,000 ","$799,000 ",1/5/2017,$929.07 ,3,,,,,For Sale,,,94610,,152,2/8/2017,Public Records,None,CA,1/12/2017,One Story,94610,,,,,,Chimere Washington,1880934,,
27452558,WC,188,325 LENOX AV,305,OAKLAND,2610,"$41,000 ",,DE,461,0,1,0,N,1,0,0,0,137,M,,,10077112600,,Yes,RESIDENTIAL,,,3%,,Alameda,189,189,12/22/1997,,Yes,0,0,,Yes,,6/16/1997 22:00,$88 ,,6/17/1997,,Excl Right,,12/22/1997,"$49,000 ",,No,62,No,No,"$49,000 ","$41,000 ",,$88.94 ,2,,,,,For Sale,,,10077112600,0,42,2/23/2002,Other,,CA,12/22/1997,Three or More Stories,94610,,,,,,GARY A. ROBINSON,1005734,,
28457775,WC,90,455 CRESCENT ST,313,OAKLAND,2610,"$45,000 ",,DE,504,0,1,0,N,6,1968,0,0,171,M,,45,10082208300,,Yes,RESIDENTIAL,,,3%,,Alameda,91,91,7/9/1998,,No,0,3,,Yes,,4/9/1998 22:00,$89 ,,4/10/1998,,Excl Right,,7/9/1998,"$45,000 ",,No,60,No,No,"$55,000 ","$45,000 ",,$89.29 ,2,,,,,For Sale,,,10082208300,0,61,8/18/2001,Public Records,,CA,7/9/1998,Three or More Stories,94610,,,,,,DORIE V GALLINATTI,,,
28512245,WC,364,10 MOSS AV,10,OAKLAND,2610,"$45,950 ",,CO,427,1,1,0,y,2,1964,0.01,437,121,m,,49,10081707400,,Yes,RESIDENTIAL,,,3%,,Alameda,0,0,5/20/1999,,Yes,0,,,Yes,,9/15/2000 13:45,$108 ,,5/21/1998,,Excl Right,,5/20/1999,"$45,950 ",,No,60,No,No,$0 ,"$45,950 ",,$107.61 ,3,,,,,For Sale,,,10081707400,,27,2/17/2015,Public Records,,CA,5/20/1999,Other,94610,,,,,,JULIA KORPI,,,
10505644,WC,224,455 CRESCENT ST,312,OAKLAND,2610,"$47,500 ",,CO,546,0,1,0,N,0,0,0,,165,M,,,10082208200,,Yes,RESIDENTIAL,,,3%,,Alameda,225,225,12/1/1998,ADAMS POINT,No,0,,,,,1/14/1998 22:00,$86 ,,1/15/1998,,Excl Right,,8/27/1998,"$47,500 ",,No,70,No,Yes,,"$47,500 ",,$87.00 ,3,,,,,For Sale,,,10082208200,0,61,11/30/1998,,,CA,12/1/1998,,,,,,,,Shelly Antonali,1094483,,
28505644,WC,224,455 CRESCENT ST,312,OAKLAND,2610,"$47,500 ",,DE,546,0,1,0,N,1,1968,0,0,165,M,,45,10082208200,,Yes,RESIDENTIAL,,,3%,,Alameda,225,225,8/27/1998,ADAMS POINT,No,0,0,,Yes,,1/14/1998 22:00,$86 ,,1/15/1998,,Excl Right,,8/27/1998,"$47,500 ",,No,70,No,No,$0 ,"$47,500 ",,$87.00 ,3,,,,,For Sale,,,10082208200,0,61,2/17/2015,Public Records,,CA,8/27/1998,,94610,,,,,,SHELLY ANTONALI,,,
27452608,WC,122,551 JEAN ST,215,OAKLAND,2610,"$49,000 ",,DE,434,1,1,0,N,1,0,0,0,150,M,,,10082805500,,Yes,RESIDENTIAL,,,3%,,Alameda,123,123,10/17/1997,,Yes,0,0,,Yes,,6/16/1997 22:00,$112 ,,6/17/1997,,Excl Right,,10/17/1997,"$52,000 ",,No,73,No,No,"$52,000 ","$49,000 ",,$112.90 ,2,,,,,For Sale,,,10082805500,73,95,2/23/2002,Other,,CA,10/17/1997,,94610,,,,,,GARY A. ROBINSON,1005734,,
