MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,Building Type,SqFt,Bedrooms,Baths,Baths Partial,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,HOA Fees Freq,Close Date,Age,APN,Census Tract,City Transfer Tax,Class,Co List Agent BRE Num.,Co Sell Agent BRE Num.,Comp to Selling Office,Comp Type,County,Cumulative DOMLS,Days On MLS,General Date,Dist/Neighborhood/Subdiv,Dual Variable,Fireplaces,Floor Unit is on,Foreclosure Status,HOA,How Sold,Input Date,List $/SqFt,List Agent BRE Num.,List Date,Listing Broker BRE Number,Listing Type,Number of offers,Off Market Date,Original Price,Pending Date,Pending Litigation,Occ%,Point of Sale Ordinance,Pool (Y/N),Previous Price,Price,Price Date,Price/SqFt,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Selling Broker BRE Number,Sold Agent BRE Num.,Tax ID,TIC % Owner Offered,Units in Complex,Update Date,Source,Special Information,State,Status Date,Stories,Zip,Zoning,Co-List Agent - Agent Name,Co-List Agent - License ID,Co-Sell Agent - Agent Name,Co-Sell Agent - License ID,Listing Agent - Agent Name,Listing Agent - License ID,Selling Agent 1 - Agent Name,Selling Agent 1 - License ID
40769086,ACTR,10,6750 Charing Cross Road,,OAKLAND,2618,"$1,295,000 ",,DE,3378,4,3,0,Y,2,1996,0.21,"9,529",,,,21,048H-7620-038,,Yes,RESIDENTIAL,,,2.5,%,Alameda,42,10,2/2/2017,OAKLAND,No,1,,,No,,2/2/2017 9:20,$383 ,1346546,2/2/2017,1346546,Excl Right,,,"$1,295,000 ",,,,Yes,No,"$1,295,000 ","$1,295,000 ",2/2/2017,$383.36 ,8,,,,,For Sale,,,,,,2/7/2017,Other,REO,CA,2/7/2017,Two Story,94603,Res,,,,,W David Osborne,1346546,,
22027221,WC,83,5871 BUENA VISTA AVE,,OAKLAND,2618,"$550,000 ",,DE,4539,99,99,0,N,0,0,0.1,"4,539",,,,,48A-7099-21,,Yes,RESIDENTIAL,,,5,,Alameda,84,84,11/18/2002,UPPER ROCKRIDGE,No,0,0,,No,,8/26/2002 22:00,$121 ,,8/27/2002,,Excl Right,,11/18/2002,"$550,000 ",,No,0,No,No,"$550,000 ","$550,000 ",,$121.17 ,99,,,,,For Sale,,,048A709902100,0,0,4/8/2010,Public Records,,CA,11/18/2002,,94618,,,,,,DEBRA DRYDEN,640041,,
27453539,WC,63,6001 BUENA VISTA AV,,OAKLAND,2618,"$599,000 ",,DE,3329,4,2,1,Y,3,1994,0.15,"6,750",,,,19,48A-7103-14,,Yes,RESIDENTIAL,,,2.50%,,Alameda,64,64,10/8/1997,UPPER ROCKRIDGE,No,1,0,,No,,8/5/1997 22:00,$179 ,,8/6/1997,,Excl Right,,10/8/1997,"$635,000 ",,No,0,No,No,"$615,000 ","$599,000 ",,$179.93 ,8,,,,,For Sale,,,048A710301400,0,0,2/17/2015,Other,,CA,10/8/1997,Two Story,94618,RES,,,,,CHARLENE W CLAYBAUGH,,,
27115092,WC,125,131 WILDING LN,,OAKLAND,2618,"$619,000 ",,DE,3800,4,3,1,Y,2,1997,0.11,"5,000",,,,16,48B-7127-10,,Yes,RESIDENTIAL,,,2.50%,,Alameda,126,126,3/9/1998,HILLCREST,Yes,2,0,,No,,11/3/1997 22:00,$162 ,,11/4/1997,,Excl Right,,3/9/1998,"$640,000 ",,No,0,No,No,"$640,000 ","$619,000 ",,$162.89 ,11,,,,,For Sale,,,048B712701000,0,0,2/17/2015,Other,,CA,3/9/1998,Tri-Level,94618,,,,,,NANCY PLATFORD,,,
29027163,WC,29,6899 BRISTOL DR,,OAKLAND,2618,"$629,000 ",,DE,3280,4,3,0,Y,1,1996,0.14,"5,973",,,,17,48H-7618-14,,Yes,RESIDENTIAL,,,2.50%,,Alameda,30,30,10/20/1999,,No,0,0,,No,,9/20/1999 22:00,$191 ,,9/21/1999,,Excl Right,,10/20/1999,"$678,000 ",,No,0,No,No,"$678,000 ","$629,000 ",,$191.77 ,7,,,,,For Sale,,,48H-7618-14,0,0,8/18/2001,Public Records,,CA,10/20/1999,Three or More Stories,94705,,,,,,CHARLES LEVINE,,,
28505054,WC,23,6350 CONTRA COSTA RD,,OAKLAND,2618,"$635,000 ",,DE,3200,4,4,0,y,2,1998,0.36,"15,855",,,,15,48A-7101-24,,Yes,RESIDENTIAL,,,3%,,Alameda,0,0,1/24/1998,ROCKRIDGE UPPER,Yes,0,,,No,,9/15/2000 13:45,$198 ,,1/1/1998,,Excl Right,,1/24/1998,"$635,000 ",,,,No,No,$0 ,"$635,000 ",,$198.44 ,9,,,,,For Sale,,,048A710102400,,,2/17/2015,Measured,,CA,1/24/1998,Split Level,94618,R,,,,,J.P. MOBASHER,,,
28506032,WC,31,6350 CONTRA COSTA RD,,OAKLAND,2618,"$635,000 ",,DE,3200,4,4,0,y,2,1998,0.36,"15,855",,,,15,48A-7101-24,,Yes,RESIDENTIAL,,,3%,,Alameda,0,0,2/24/1998,ROCKRIDGE UPPER,Yes,0,,,No,,9/15/2000 13:45,$198 ,,1/24/1998,,Excl Right,,2/24/1998,"$635,000 ",,,,No,No,$0 ,"$635,000 ",,$198.44 ,9,,,,,For Sale,,,048A710102400,,,2/17/2015,Measured,,CA,2/24/1998,Split Level,94618,R,,,,,J.P. MOBASHER,,,
28459984,WC,15,6363 CONTRA COSTA RD,,OAKLAND,2618,"$649,000 ",,DE,3527,5,3,1,Y,1,1995,0.25,"10,875",,,,18,48A-7101-32,,Yes,RESIDENTIAL,,,2.5,,Alameda,16,16,8/1/1998,UPPER ROCKRIDGE,No,3,0,,No,,7/16/1998 22:00,$184 ,,7/17/1998,,Excl Right,,8/1/1998,"$699,000 ",,No,0,No,No,"$699,000 ","$649,000 ",,$184.01 ,10,,,,,For Sale,,,048A710103200,0,0,8/18/2001,Public Records,,CA,8/1/1998,Three or More Stories,94618,RS,,,,,CANDY BENNYI,,,
29022159,WC,89,6350 CONTRA COSTA RD,,OAKLAND,2618,"$669,000 ",,DE,3200,4,4,0,Y,1,1998,0.36,"15,855",,,,15,48A-7101-24,,Yes,RESIDENTIAL,,,2.5,,Alameda,90,90,10/13/1999,,No,1,0,,No,,7/15/1999 22:00,$209 ,,7/16/1999,,Excl Right,,10/13/1999,"$699,000 ",,No,0,No,No,"$699,000 ","$669,000 ",,$209.06 ,8,,,,,For Sale,,,048A710102400,0,0,2/17/2015,Other,,CA,10/13/1999,Tri-Level,94618,,,,,,MARY RUTH ARMSTRONG,,,
27248645,WC,36,128 VICENTE RD,,OAKLAND,2618,"$679,500 ",,DE,3500,3,4,0,Y,1,0,0.14,"6,160",,,,,48H-7604-43,,Yes,RESIDENTIAL,,,3%,,Alameda,37,37,1/22/1998,CLAREMONT,Yes,0,0,,No,,12/16/1997 22:00,$194 ,,12/17/1997,,Excl Right,,1/22/1998,"$679,500 ",,No,0,No,No,$0 ,"$679,500 ",,$194.14 ,7,,,,,For Sale,,,048H760404300,0,0,8/18/2001,Other,,CA,1/22/1998,Three or More Stories,94705,,,,,,KENNETH BARLEY,,,
